name category
胃肠道胀气 belly
愚型样睑裂歪曲 head
下腹部压痛 belly
桥脑梗塞 head
上半身消瘦，下... others
泌尿道阻塞 belly
畏寒 others
热痰口臭 head
面肌抽搐 head
指尖边缘指甲有凹陷 limb
代树芳 others
网眼样痴呆 head
继发性失眠 head
发作性眩晕 head
胆管断裂 belly
舌炎 head
仝超 others
腹泻 belly
锥虫性“下疳” head
迎风流泪 head
血管萎缩性白斑 others
转肽酶偏高 belly
消瘦严重者呈”... others
耳下区的韧实肿块 head
腱反射异常 limb
粒细胞减少 others
晶状体脱位或半脱位 head
眼前冒紫烟 head
青春期甲亢 head
肠胀气 belly
面颊明显内陷 head
搏动性耳鸣 head
晕动症 head
口腔唇系带粗大 head
小儿嘴角溃疡 head
贫血 others
心脏“偷停”感 thoracodorsal
耳前淋巴结肿大 head
下腹痛 belly
失血过多 others
长骨骨骺端钙化不全 others
子宫破裂征象 belly
睡觉后全身大汗淋漓 others
瞳孔固定 head
呼吸性碱中毒 thoracodorsal
会阴痒 belly
子宫呈葫芦状 belly
自我定向障碍 head
重听 head
肾部积水现象 belly
眼球移位 head
尿磷 belly
肝脏轻度脂肪变性 belly
咽异感症 head
爪甲和甲床表现... others
肺实变 thoracodorsal
囊性坏死 belly
舞蹈样手足徐动 limb
痛性阴茎勃起 belly
局部静脉硬索状 others
唇厚舌大 head
抗内膜抗体阳性 belly
耳鸣 head
寒冷刺激下皮损... others
气道变窄 thoracodorsal
假性近视 head
肺容量减小 thoracodorsal
凉结节 head
眉弓囊肿 head
胱氨酸储积症 belly
黑尿 belly
交替使用双眼 head
颅内高压 head
新生儿蛋白尿 belly
抗利尿激素(A... head
跖纹中拇趾球区... limb
脐带绕颈 belly
尿痛 belly
淋巴结结核 belly
尿流呈波动状 belly
颈椎退化 head
定向力障碍 head
代谢性低钾 others
脑脓肿 head
夜尿增多 belly
蝶鞍空泡 head
横纹肌溶解 others
自主神经反射 head
上呼吸道卡他症状 thoracodorsal
口角歪斜，无法说话 head
认识能力缺失 head
特别容易饿 belly
咳嗽伴胸痛 thoracodorsal
湿性体质 others
胃肠动力差 belly
维生素D缺乏 others
子宫前位 belly
大腿长红疙瘩 limb
口吐白沫 head
心前区隆起 thoracodorsal
口唇泛红 head
小腹刺痛 belly
X-现象 others
节段性肌张力障碍 others
膝、踝反射减退 limb
颅脑损伤后头痛 head
发音障碍 head
回盲部结核 belly
鼻端出火 head
尿黄似浓茶 belly
生长过快 others
耳孔处肿物 head
重度肥胖 others
儿童恐怖症 head
坐骨神经痛 belly
肺部转移 thoracodorsal
室间隔缺损 thoracodorsal
鼻端缺损 head
肛门括约肌松弛 belly
呼吸反射调节受损 head
血性渗液 others
颈髓硬膜外病变 head
胃酸减少 belly
技术狂躁症 head
增生性瘢痕 others
多疑 head
胸痛伴胸闷、心悸 thoracodorsal
迟强强 others
盆腔脓肿 belly
下腹部钝痛和酸胀感 belly
大便异常 belly
月经周期改变 belly
下垂乳房 thoracodorsal
精液少 belly
肠梗死 belly
痔块脱垂 belly
眶周青紫 head
大便失禁 belly
牙龈上发生黑线 head
口腔难愈的白色片状物 head
眼疲劳 head
颈椎生理曲度变直 head
眼球偏斜 head
鼻孔外露 head
小腿腓部肌肉疼... limb
肝叶萎缩 belly
隔膜孔道狭小 thoracodorsal
弯腰时腰痛 belly
伤口形成一个搏... others
睡觉时心跳加快 thoracodorsal
颈背部肌肉痉挛 thoracodorsal
胎盘植入 belly
情绪性失眠 head
纤维膜包裹 others
咽部有异物感 head
心房对心室收缩... thoracodorsal
晶状体膨胀增大 head
脊髓缺血 thoracodorsal
眼底点状或火焰状出血 head
电击样剧痛 others
指(趾)甲横断 limb
视乳头水肿 thoracodorsal
消瘦 others
不规则热 others
腰大肌脓肿 belly
神经元移行异常 head
口腔血泡 head
软腭有疤痕 head
幻觉 head
心包破损伤 thoracodorsal
脊髓前角病变 others
腹痛伴恶心、呕吐 thoracodorsal
桥脑出血 head
眼缺陷 head
排尿过程中发生晕厥 head
眼发胀、发干 head
喜凉怕热 others
身体摇晃征 others
青春期后无精液 belly
睡觉时突然抽搐一下 others
颌骨错位 head
久病亏损 others
血管迷走性晕厥 others
局部可摸到肌腹... others
息肉 others
肝部疼痛 belly
儿童离别焦虑 head
偏身肌张力障碍 others
下肢弥漫性水肿 limb
停经 belly
心率不齐 thoracodorsal
缺乏深睡眠 head
心悸伴心率异常 thoracodorsal
虚汗 others
咽喉部充血 head
肢体短缩畸形 limb
头皮血肿 head
鼻外部膨胀隆起 head
肋间隙可有压痛 thoracodorsal
排粪时肛门灼痛 belly
淤青 others
腕关节扭挫伤 limb
骨龄延迟 others
经期头痛 head
涂明 others
痛经 belly
情绪性进食 head
神经束损伤断裂 head
机械性压迫 others
手唇震颤 head
低血糖性低温症 others
两肺满布粟粒状阴影 thoracodorsal
汞毒性震颤 head
寒战 others
带血性分泌物 belly
紫斑 others
感觉性共济失调 others
思维中断 head
贫血貌 others
交感神经高度紧张 head
硬腭呈半圆形隆起 head
豆菊香 others
肾缺血 belly
起点 others
一过性的流感样症状 others
脑桥小脑角综合征 head
子宫颈扩张 belly
腹部型肥胖 belly
耳鼓膜破裂 head
口角肌肉的抽搐 head
蛔虫感染 belly
低血压 others
上肺纤维化明显 thoracodorsal
新生儿贫血 others
痉挛性截瘫步态 limb
婴儿说话晚 head
吸烟胸痛 thoracodorsal
肢体或躯干姿势异常 limb
气上沖心 thoracodorsal
