name category category2
椎体爆裂骨折	others
妊娠合并缺铁性贫血	others	
慢性细菌性痢疾	others	
白喉性心肌炎	cardiovascular_cerebrovascular	
神经性皮炎	others	
共济失调	cardiovascular_cerebrovascular	
冠心病	cardiovascular_cerebrovascular	冠心病
小儿出血性疾病	others	
代谢综合征	metabolic_system	
α1抗胰蛋白酶缺乏性肝病	metabolic_system	
十二指肠静脉曲张	others	
缺铁性贫血	others	
脊索瘤	cancer	
急性闭角性青光眼	others	
肠道菌群失调症	others	
上隐斜	others	
肾钙乳	others	
毛鞘棘皮瘤	others	
卵巢支持-间质细胞瘤	cancer	
温虐	others	
鼻部脑膜脑膨出	cardiovascular_cerebrovascular	
外阴-阴道-牙龈综合征	others	
梅克尔憩室	others	
恶性小汗腺汗孔瘤	cancer	
暴发性紫癜	metabolic_system	
颅内低压性头痛	cardiovascular_cerebrovascular	
单眼双下转肌麻痹	cardiovascular_cerebrovascular	
口腔颌面部血管瘤	cardiovascular_cerebrovascular	
急性单纯外伤性腰腿痛	others	
阳明头痛	cardiovascular_cerebrovascular	
杀虫脒中毒	others	
肠气囊肿	others	
家族性混合型高脂血症	metabolic_system	血脂异常
咽部创伤	others	
肾下垂	others	
腱鞘囊肿	others	
红斑狼疮	metabolic_system	
继发性皮肤滤泡中心细胞性淋巴瘤	cancer	
腭裂	others	
哨兵痔	others	
晕厥	cardiovascular_cerebrovascular	
喉外伤	others	
埃布斯坦综合征	cardiovascular_cerebrovascular	
热痹	others	
过敏性紫癜肾炎	metabolic_system	
急性宫颈炎	others	
出血性休克和脑病综合征	others	
隐翅虫皮炎	others	
嘧啶5′-核苷酸缺乏症	metabolic_system	
稳定型心绞痛	cardiovascular_cerebrovascular	冠心病
糖尿病	metabolic_system	糖尿病
短颈畸形	others	
小儿史-约综合征	others	
小儿过敏性紫癜	metabolic_system	
范科尼综合征	metabolic_system	
二期梅毒	others	
小汗腺汗管纤维腺瘤	cancer	
经腹会阴直肠癌根治术后盆底腹膜疝	others	
社交恐惧症	mental_disorder	
粉碎性骨折	others	
朗格汉斯细胞组织细胞增生症	cancer	
腹壁挫伤	others	
卵巢黄体囊肿破裂	others	
急性化脓性关节炎	others	
幽门螺杆菌感染	others	
痰热咳嗽	respiratory_system	
食管损伤	others	
加速性室性自主心律	cardiovascular_cerebrovascular	
流行性角膜结膜炎	others	
肺部钩虫病	respiratory_system	
轻链病与轻链沉积病	others	
老年人骨关节炎	metabolic_system	
睾丸鞘膜积液	others	
直肠息肉	others	
水痘-带状疱疹性葡萄膜炎	others	
生殖道肿瘤	cancer	
小儿颅咽管瘤	cancer	
反分化软骨肉瘤	cancer	
弥漫性血管内凝血	metabolic_system	
荨麻疹和血管性水肿	others	
脊疳	others	
眼眶脑膜-脑膨出	cardiovascular_cerebrovascular	
阻塞性睡眠呼吸暂停综合征	respiratory_system	
植物神经系统肿瘤	cancer	神经系统肿瘤
前列腺病	others	
小儿急性偏瘫	cardiovascular_cerebrovascular	
生理性卵巢囊肿	others	
胰岛素瘤	cancer	胰腺癌
小肠系膜损伤	others	
髓性多汗症	others	
肛窦炎及肛乳头炎	others	
耳外伤	others	
溃疡病大出血	others	
青年性驼背	others	
眼眶静脉性血管瘤	others	
舌下腺囊肿	others	
甲醛中毒	others	
动脉硬化性闭塞症	cardiovascular_cerebrovascular	
先天性巨细胞包涵体病	others	
皮下脂肪瘤	cancer	
蹄铁形肾	others	
玻璃体混浊	others	
眼眶神经鞘瘤	cancer	神经系统肿瘤
卵巢纤维瘤	cancer	
骨髓增生性疾病	others	
须部假毛囊炎	others	
膀胱与尿道结石	others	
先天性肌强直	others	
水痘性角膜炎	others	
老年人血管性痴呆	mental_disorder	阿尔兹海默症
肩-手综合征	others	
腹部创伤	others	
躁狂症	mental_disorder	
全身性发疹性组织细胞增生症	others	
高血压脑出血	cardiovascular_cerebrovascular	高血压
其他病毒肺炎	respiratory_system	
继发于严重肝疾患的棘红细胞增多症	others	
克罗恩病	others	
急性淋巴细胞白血病	cancer	
持续性枕横位难产	others	
房室交接区逸搏和逸搏心律	cardiovascular_cerebrovascular	
Leber遗传性视神经病变	cardiovascular_cerebrovascular	
小儿肾病综合征	metabolic_system	
呼吸性碱中毒	respiratory_system	
小儿结节性硬化症	metabolic_system	
颈部淋巴结结核	others	
空肠、回肠憩室	others	
新生儿生理性黄疸	metabolic_system	
乳发	others	
突发性耳聋	others	
睑板腺囊肿	others	
小儿急性小脑性共济失调	cardiovascular_cerebrovascular	
脑鸣	cardiovascular_cerebrovascular	
老年人稳定型心绞痛	cardiovascular_cerebrovascular	冠心病
着色杆菌病	others	
纵隔非霍奇金恶性淋巴肿瘤	cancer	
咽异感症	others	
妊娠合并红细胞增多症	others	
老年人膀胱癌	cancer	
膝关节韧带损伤	others	
胰腺脑病综合征	others	
咽角化症	others	
肠道厌氧菌感染	others	
腰痛-血尿综合征	others	
下部附加前根脊髓动脉缺血症候群	cardiovascular_cerebrovascular	
皮肤白细胞破碎性血管炎	others	
乳酸性酸中毒	metabolic_system	
副霍乱	others	
皮肤癣菌病	others	
葡萄糖-6-磷酸脱氢酶缺乏症	others	
巨细胞病毒性肺炎	respiratory_system	
胚胎遗留性囊肿	others	
肥胖性生殖无能综合征	others	
肩关节结核	others	
胆源性慢性胰腺炎	others	
恋物癖	others	
挛痹	others	
先天性小肠闭锁和肠狭窄	others	
冻疮	others	
脑癌	cancer	
先天性视网膜劈裂症	others	
肠杆菌肺炎	respiratory_system	
尿精	others	
胃结核	others	
小肠平滑肌肉瘤	cancer	
湿热痢	others	
酒中毒性周围神经病	cardiovascular_cerebrovascular	
小儿哮喘	others	
颞下颌关节脱位	others	
眶假瘤	others	
人工关节置换术后关节感染	others	
妊娠合并甲亢	metabolic_system	
乳头的乳头状瘤	cancer	
遗传性高尿酸血症	metabolic_system	
克拉伯病	metabolic_system	
体质性低血压	cardiovascular_cerebrovascular	
脂肪肉瘤	cancer	
类脂性肺炎	respiratory_system	
上颈椎不稳症	others	
念珠状红苔藓	others	
黑色素瘤	cancer	
延迟性应激反应	mental_disorder	
蛛网膜炎	others	
小儿咽喉炎	respiratory_system	
薄肾小球基底膜病	metabolic_system	
肾功能不全	metabolic_system	
高度近视	others	
牙斑	others	
急性气管－支气管炎	respiratory_system	
男性尿道癌	cancer	
婴幼儿阴道炎	others	
瘢痕性脱发	others	
副肿瘤性斜视性眼肌阵挛-肌阵挛	cancer	
小肠原发性恶性淋巴瘤	cancer	
急性肾小管坏死	metabolic_system	
老年人急进性肾炎	metabolic_system	
烧伤后急性肾功能衰竭	metabolic_system	
习惯性便秘	others	
头痛	cardiovascular_cerebrovascular	
腹腔脓肿	others	
龋齿	others	
阵发性室性心动过速	cardiovascular_cerebrovascular	
间充质软骨肉瘤	cancer	
血吸虫尾蚴性皮炎	others	
梅毒	others	
排卵障碍	others	
小儿卡斯钦-贝克病	others	
小儿髓母细胞瘤	cancer	
小儿有机磷农药中毒	others	
小儿乳糜泻	others	
小儿真菌感染性口炎	others	
腹壁间疝	others	
学习技能发育障碍	mental_disorder	
喉喑	cancer	
喘息样支气管炎	cancer	
原发性血小板增多症	others	
狐惑	others	
妊娠高血压疾病	cardiovascular_cerebrovascular	
小儿颅后窝室管膜瘤	cancer	
巨大肥厚性胃炎	others	
结肠癌	cancer	结直肠癌
阑尾腺癌	cancer	
汉德-许勒尔-克思斯琴病	others	
膀胱憩室	others	
脾水	others	
蛔虫病	others	
淋巴结核	others	
心脑血管疾病	cardiovascular_cerebrovascular	
外阴银屑病	others	
盆腔脓肿	others	
小儿葡萄状肉瘤	cancer	
舟骨骨折	others	
中性粒细胞增多症	others	
新生儿晚期代谢性酸中毒	others	
小儿亚硝酸盐中毒	others	
生殖器念珠菌病	others	
紫癜性扁平苔藓	others	
偏执狂	mental_disorder	
蟹睛	others	
柏哲病	cancer	
发芽马铃薯中毒	others	
急性化脓性脊髓炎	others	
先天性纯红细胞再生障碍性贫血	others	
小儿两性畸形	others	
心气虚	cardiovascular_cerebrovascular	
加利福尼亚脑炎	cardiovascular_cerebrovascular	
链球菌中毒性休克综合征	others	
急性出血性坏死性肠炎	others	
网状红斑萎缩性毛囊炎	others	
小儿先天性巨结肠	others	
肺爆震伤	respiratory_system	
神经莱姆病	others	
角膜擦伤	others	
旋转带肌腱炎	others	
急性粒细胞缺乏	others	
穿透性心脏外伤	cardiovascular_cerebrovascular	
小儿喉痉挛	respiratory_system	
骨与关节结核	others	
莱姆心脏炎	cardiovascular_cerebrovascular	
牙源性皮瘘	others	
妊娠合并宫颈癌	cancer	
慢性腰部劳损	others	
阴道横隔	others	
赤丝虬脉	others	
流痰	others	
原发性单克隆免疫球蛋白病	others	
骨瘤	cancer	
骨纤维肉瘤	cancer	
孤独症谱系障碍	mental_disorder	
扭转痉挛	others	
子宫颈残端癌	cancer	宫颈癌
胎死不下	others	
牙隐裂	others	
慢性纤维性甲状腺炎	metabolic_system	
跖骨疲劳性骨折	others	
浅表性静脉炎	others	
外阴丹毒	others	
妊娠合并再生障碍性贫血	others	
背部弹力纤维瘤	others	
伪聋	others	
尿布疹	others	
狐臭	others	
巴德-吉亚利综合征	cardiovascular_cerebrovascular	
泪腺肉样瘤病	cancer	
食管异位组织	others	
急性咽炎	respiratory_system	
痛风性关节炎	others	
窦性心律失常	cardiovascular_cerebrovascular	
皮炎	others	
老年人急性呼吸窘迫综合征	respiratory_system	
淋巴瘤引起的肾损害	cancer	
急性泪囊炎	others	
癫痫伴发的精神障碍	mental_disorder	
小儿肾性氨基酸尿症	metabolic_system	
黏膜相关样组织淋巴瘤	cancer	
急性风湿热肾损害	metabolic_system	
外阴血吸虫病	others	
心源性哮喘	cardiovascular_cerebrovascular	
晕动病	cardiovascular_cerebrovascular	
侵袭性大肠埃希氏菌肠炎	others	
小儿神经源性膀胱	others	
肺癌肝转移	cancer	肺癌
产后泌尿道感染	others	
肱骨外髁颈骨折	others	
心源性休克	cardiovascular_cerebrovascular	
老年人肝硬化	others	
结缔组织增生性毛发上皮瘤	cancer	
甲状腺炎	metabolic_system	
螨皮炎	others	
死精症	others	
幼年黑素瘤	cancer	
多发性消化道息肉综合征	others	
肌筋膜炎	others	
肠道传染病	others	
再生障碍性贫血	others	
骨膜性软骨瘤	cancer	
小儿囊性纤维性变	others	
重度脂肪肝	others	
尿黑酸尿与褐黄病	metabolic_system	
小儿家族性嗅神经-性发育不全综合征	others	
甲状腺弥漫性病变	metabolic_system	
乙醚中毒	others	
红癣	others	
小儿热疮	others	
原发性婴幼儿型青光眼	others	
褥疮	others	
小儿曼氏迭宫绦虫病和曼氏裂头蚴病	others	
小儿石膏综合征	others	
强酸、强碱中毒	others	
肺部真菌感染	respiratory_system	
牙病	others	
小儿尼曼-皮克病	metabolic_system	
洁癖	mental_disorder	
肾小管性酸中毒	metabolic_system	
寄生虫性尿路感染	others	
亚急性甲状腺炎	metabolic_system	
新生儿尿布皮炎	others	
丹痧	others	
下疳样脓皮病	others	
新生儿消化道重复症	others	
躯体形式障碍	others	
小儿纤维性骨营养不良综合征	metabolic_system	
窦室传导	cardiovascular_cerebrovascular	
Stargardt病	others	
遗传性血管性水肿	others	
结节性血管炎	others	
玻璃体及视网膜脱离手术所致青光眼	others	
小儿血管角质瘤综合征	cancer	
内脏动脉慢性闭塞	others	
卡氏肺囊虫肺炎	respiratory_system	
异物伤	others	
乳房纤维瘤	others	
遗传性出血性毛细血管扩张症	others	
Ⅲ型超敏反应性疾病	others	
脾功能亢进症	others	
脊椎化脓性骨髓炎	others	
中毒性休克综合征	others	
鼻神经胶质瘤	others	
外源性变应性肺泡炎	respiratory_system	
锁骨下动脉-腋动脉瘤	cardiovascular_cerebrovascular	
脉络膜炎	others	
急性骨髓性白血病	cancer	
正常颅压脑积水	cardiovascular_cerebrovascular	
尿道肉阜	others	
亚急性联合变性	metabolic_system	
痰火扰心	cardiovascular_cerebrovascular	
鼻前颅底肿瘤	cancer	
小儿脑膜瘤	cancer	
心脏骤停与心肺脑复苏	cardiovascular_cerebrovascular	
老年人胆石症	others	
脑膜炎奈瑟菌肺炎	respiratory_system	
胃内异物	others	
慢性酒中毒	others	
烧伤	others	
鼻中隔偏曲	others	
脊椎结核后突畸形	others	
肱动脉损伤	cardiovascular_cerebrovascular	
寄生虫性关节炎	others	
Usher综合征	others	
鳃裂囊肿和瘘管	others	
上睑下垂	others	
五脏痹	others	
极外侧型腰椎间盘突出症	others	
胆道出血	others	
触电	others	
垂体卒中	cardiovascular_cerebrovascular	卒中
老年人心房扑动	cardiovascular_cerebrovascular	
脊柱、脊髓损伤	others	
牙外伤	others	
免疫性不孕	others	
小儿便秘	others	
静脉炎	others	
慢性牙周炎	others	
干呕	others	
反应性组织细胞增多症	others	
胃类癌瘤	cancer	神经系统瘤
老年性癫痫	mental_disorder	
口腔干燥综合征	metabolic_system	
直立性低血压	cardiovascular_cerebrovascular	
立氏立克次体斑疹热	others	
冬眠瘤	cancer	
四肢不用	others	
妊娠纹	others	
全身脂肪代谢障碍	metabolic_system	
中心性软骨肉瘤	cancer	
膝关节内侧副韧带断裂	others	
食管白斑	others	
透明细胞软骨肉瘤	cancer	
外阴色素痣	others	
无排卵型功能失调性子宫出血	others	
恋童癖	mental_disorder	
眼眶平滑肌瘤	cancer	
难治性心力衰竭	cardiovascular_cerebrovascular
